TIME,BIOGAS,BIOMASS,GEOTHERMAL,SMALL HYDRO,SOLAR,WIND TOTAL
1/16/18,5737.328084,7795.03574,23135.62839,10156.36302,2568.570378,7429.557231
1/17/18,5521.940534,7886.54799,22427.84376,0.487440568,2178.765872,14099.74822
1/18/18,5448.829683,7717.088273,23047.38775,8895.577795,1668.459391,11060.62428
1/19/18,5444.351382,7895.032949,22424.54525,8762.958979,1941.24946,5154.918295
1/20/18,5391.204496,7895.133634,22332.60812,8730.453669,1833.278828,5962.875402
1/21/18,5401.339393,7894.650337,22428.04393,8787.336817,1728.05758,938.7996019
1/22/18,5398.468281,7889.856319,22293.34651,8666.936245,1989.965508,205.2514156
1/23/18,5402.144929,7782.524289,22185.99596,8864.410889,2003.026795,3913.5687
1/24/18,5406.1881,7938.60748,22235.09106,8784.315792,1668.872092,4480.009917
1/25/18,5413.108799,8081.465431,22078.19809,8916.342633,1454.994008,1771.81203
1/26/18,5308.295444,7758.94735,22238.84062,9045.979248,1750.426421,610.3329635
1/27/18,5349.350337,7817.051338,22172.22659,8779.318114,1597.3737,908.0456327
1/28/18,5387.12871,7658.857541,21954.74972,8908.436946,1723.582409,1995.201244
1/29/18,5477.108938,7804.395695,22142.19155,8874.250297,1924.632934,2346.476713
1/30/18,5468.912563,7860.309453,22120.6963,8718.447281,1607.459106,4924.554821
1/31/18,5451.92044,7849.224039,22498.4173,9481.934293,1787.50178,7776.400072
2/1/18,5482.65905,7620.822494,22420.14906,9451.137955,2030.559594,3831.104369
2/2/18,5499.871348,7753.583069,22495.29573,9698.262278,1867.800387,7280.576946
2/3/18,5660.245186,8044.664002,22618.35023,10557.31269,2424.351254,12075.36882
2/4/18,5760.796456,8230.339871,22863.13281,10696.64229,2479.144872,13256.45208
2/5/18,5587.692779,7920.246605,22583.8343,9689.250941,1751.127469,14138.12108
2/6/18,5481.766253,8074.600448,22469.06949,8432.038331,1327.453128,10841.39602
2/7/18,5641.550045,8169.140347,22638.6849,10021.51672,2400.008121,7464.609402
2/8/18,5658.445819,8091.089844,22562.02707,10848.20628,2658.20995,8291.062905
2/9/18,5597.377247,8167.823269,22687.47499,10581.13558,2567.047621,11215.27081
2/10/18,5604.180831,8075.84506,22902.34091,10747.95079,2684.589007,6086.289807
2/11/18,5474.66619,8080.056533,22524.97034,10511.47482,3076.490574,14834.02507
2/12/18,5386.493719,7904.080278,21859.50244,9134.545729,1510.998597,434.3800897
2/13/18,5421.048668,7755.888928,22134.32737,9259.070254,1421.051589,6457.169231
2/14/18,5531.441635,7846.909583,22495.19433,9922.802591,2050.020849,11860.34472
2/15/18,5446.990653,7783.476323,22875.14299,9686.357473,1785.068148,9111.033505
2/16/18,5422.992185,7881.606163,22723.16561,9775.882525,1978.565194,11164.62039
2/17/18,5456.946284,7968.002654,22751.57279,9888.780506,2587.970214,6382.769914
2/18/18,5593.216067,7999.582768,22915.54578,9551.209653,2808.883739,6327.091866
2/19/18,5525.417113,7829.713611,22538.65531,8810.975957,2082.161805,5133.625793
2/20/18,5512.219908,7771.732477,22563.20355,8682.940153,1488.054693,10381.31728
2/21/18,5602.934091,7898.888467,22604.51109,8843.791397,1371.427394,10783.86937
2/22/18,5670.107343,8144.476347,22831.25089,8282.73574,2127.640841,6420.329289
2/23/18,5568.558806,7829.955095,22764.33941,8272.040606,1794.711056,7450.304765
2/24/18,5545.23086,7968.64148,23013.80393,8576.175171,2765.596982,16999.81993
2/25/18,5585.358425,8036.933507,23148.34663,9436.002487,2820.255262,23190.80479
2/26/18,5586.274834,7763.358249,22757.49682,8700.377535,2100.074982,24365.06864
2/27/18,5481.572921,7691.480782,22682.26788,8413.513414,1749.347036,18389.50441
2/28/18,5502.035724,7906.208767,22714.34887,9768.619288,2112.322557,18729.50062
3/1/18,5713.048255,8068.8554,22728.87016,9408.237933,2396.201918,21485.67366
3/2/18,5637.697859,7968.016594,22679.36195,8948.20234,2271.244852,17165.25335
3/3/18,5646.534756,8102.458526,22705.56482,9226.696157,2441.613475,9860.410023
3/4/18,5683.303892,8274.942424,22877.74446,9246.029917,3025.097908,12219.0678
3/5/18,5577.087786,7948.248222,22631.40699,8950.472438,2167.280276,3892.550687
3/6/18,5478.238392,7797.409924,22239.44819,8435.940866,1271.033119,9236.000415
3/7/18,5534.899906,8137.529389,22478.77197,8328.427604,1931.892724,17585.76147
3/8/18,5763.824307,8277.734528,22526.14833,9124.577566,1681.036882,13671.51043
3/9/18,5764.921455,8340.659932,22722.33828,8814.966753,1766.152675,13247.90611
3/10/18,5800.107839,8320.292489,22418.47725,9329.539985,1708.76687,15775.23857
3/11/18,5812.342716,8379.928122,22529.71653,8991.775158,1697.150336,19631.94315
3/12/18,5711.89767,8046.720476,22153.71739,8528.633664,1187.253141,14429.88346
3/13/18,5673.182686,8046.707707,22455.64158,9014.558216,1483.417867,12964.03369
3/14/18,5651.235081,8324.855119,23180.82732,9635.628718,1573.854896,11952.88272
3/15/18,5721.187661,8268.371396,23167.67424,9969.355372,1878.758611,13418.09888
3/16/18,5767.651179,8234.04714,23291.06883,9964.001753,2393.23452,13555.29295
3/17/18,5715.538146,8210.746273,23333.03853,9902.409749,2136.908008,14090.23516
3/18/18,5752.046358,8315.992471,23178.38616,9265.694149,2209.839097,19356.85198
3/19/18,5760.642642,8051.897504,22877.67329,8627.824187,813.6065065,14213.27304
3/20/18,5687.281769,8435.500323,22601.72573,8043.460575,710.9860374,8570.78878
3/21/18,5719.996096,8491.568017,23143.61642,9734.037129,1424.651062,21816.58332
3/22/18,5769.314176,8328.317781,23021.48337,10096.77352,1948.160655,19425.75312
3/23/18,5774.072169,8467.012939,22877.56186,10624.11348,2170.306697,25585.14014
