,TIME,BIOGAS,BIOMASS,GEOTHERMAL,SMALL HYDRO,SOLAR,WIND TOTAL
0,2010-04-20,3803.0,7491.0,25594.0,6571.0,1410.0,23746.0
1,2010-04-21,3996.0,6797.0,25731.0,7014.0,414.0,20842.0
2,2010-04-22,4158.0,6907.0,25811.0,6921.0,481.0,8696.0
3,2010-04-23,4170.0,7508.0,25327.0,7089.0,3284.0,16501.0
4,2010-04-24,4278.0,7146.0,25203.0,6987.0,3371.0,17063.0
5,2010-04-25,4081.0,6947.0,25316.0,7130.0,3376.0,9311.0
6,2010-04-26,4149.0,6691.0,25388.0,6943.0,3599.0,14664.0
7,2010-04-27,4058.0,6953.0,24269.0,6940.0,2049.0,29248.0
8,2010-04-28,3928.0,6842.0,24763.0,7340.0,2231.0,26073.0
9,2010-04-29,3929.0,6785.0,24901.0,7427.0,3330.0,22008.0
10,2010-04-30,4072.0,5866.0,25578.0,7450.0,3762.0,20093.0
11,2010-05-01,4114.0,5287.0,25329.0,7708.0,3416.0,24502.0
12,2010-05-02,4106.0,5756.0,25379.0,7662.0,3438.0,20426.0
13,2010-05-03,4084.0,5803.0,25117.0,7610.0,3591.0,14566.0
14,2010-05-04,4071.0,5907.0,24655.0,7491.0,3722.0,23669.0
15,2010-05-05,4052.0,6160.0,24600.0,7828.0,3443.0,26137.0
16,2010-05-06,4083.0,5799.0,24764.0,7947.0,3802.0,25950.0
17,2010-05-07,4106.0,5500.0,24561.0,8296.0,3873.0,13458.0
18,2010-05-08,4124.0,5022.0,23160.0,8300.0,3437.0,33667.0
19,2010-05-09,4119.0,5819.0,23747.0,8345.0,2630.0,32054.0
20,2010-05-10,3982.0,5213.0,25210.0,7965.0,3451.0,29004.0
21,2010-05-11,4054.0,5163.0,25091.0,8052.0,3436.0,22588.0
22,2010-05-12,4035.0,5064.0,24991.0,8423.0,3757.0,16276.0
23,2010-05-13,4030.0,4207.0,25172.0,8418.0,1678.0,12891.0
24,2010-05-14,3859.0,4515.0,25235.0,8338.0,3236.0,16729.0
25,2010-05-15,2968.0,4244.0,25257.0,8220.0,3597.0,11180.0
26,2010-05-16,2997.0,4452.0,25348.0,8199.0,3450.0,19678.0
27,2010-05-17,2939.0,4380.0,25536.0,8277.0,698.0,19592.0
